"WBS #","Name / Title",Type,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,Comments,"Task Color"
1,CSEDP,project,2025-09-15,2025-12-24,0,0,14.63,,,,,
1.1,第一阶段,group,2025-09-15,2025-09-29,0,0,90.93,,,,,
1.1.1,课堂报告PPT,task,2025-09-15,2025-09-29,0,0,91,,,,,blue2
1.1.2,Github仓库,task,2025-09-15,2025-09-15,0,0,100,,,,,blue2
1.1.3,需求捕获,task,2025-09-15,2025-09-16,0,0,100,,,,,blue2
1.1.4,软件需求说明书,task,2025-09-16,2025-09-22,0,0,100,,1.1.3,,,blue2
1.1.5,项目开发计划,task,2025-09-17,2025-09-23,0,0,85,,1.1.4,,,blue2
1.1.6,系统UI设计,task,2025-09-22,2025-09-25,0,0,80,,1.1.5,,,blue2
1.2,第二阶段,group,2025-10-06,2025-10-31,0,0,0,,,,,
1.2.1,后端开发小组,subgroup,2025-10-06,2025-10-24,0,0,0,,,,,
1.2.1.1,基础框架与用户系统搭建,task,2025-10-06,2025-10-15,0,0,0,,1.1.5,,,blue2
1.2.1.2,核心数据功能，增删查改API,task,2025-10-13,2025-10-24,0,0,0,,,,,blue2
1.2.2,前端开发小组,subgroup,2025-10-09,2025-10-31,0,0,0,,,,,
1.2.2.1,基础战报、资讯、赛程与数据页面搭建,task,2025-10-09,2025-10-29,0,0,0,,1.2.1.1,,,blue2
1.2.2.2,对接后端API,task,2025-10-23,2025-10-31,0,0,0,,1.2.2.1,,,blue2
1.3,第一次迭代,group,2025-11-06,2025-12-02,0,0,0,,,,,
1.3.1,后端开发小组,subgroup,2025-11-06,2025-11-21,0,0,0,,,,,
1.3.1.1,社区系统评论回复功能的API,task,2025-11-06,2025-11-18,0,0,0,,,,,blue2
1.3.1.2,教练工具阵容/战术数据存取基础API,task,2025-11-12,2025-11-21,0,0,0,,1.2.1.2,,,blue2
1.3.2,前端开发小组,subgroup,2025-11-07,2025-12-02,0,0,0,,,,,
1.3.2.1,在新闻战报和帖子下嵌入评论区，对接API,task,2025-11-07,2025-11-19,0,0,0,,1.3.1.1,,,blue2
1.3.2.2,实现可自定义的阵容模拟器、战术板界面,task,2025-11-21,2025-12-02,0,0,0,,1.3.1.2,,,blue2
1.4,第二次迭代,group,2025-11-21,2025-12-08,0,0,0,,,,,
1.4.1,后端开发小组,subgroup,2025-11-21,2025-12-03,0,0,0,,,,,
1.4.1.1,数据与工具增强，球员个人数据与历史交锋API,task,2025-11-24,2025-12-01,0,0,0,,1.3.1.2,,,blue2
1.4.1.2,性能优化与代码重构，针对全校更大数据量的优化,task,2025-11-21,2025-12-03,0,0,0,,,,,blue2
1.4.2,前端开发小组,subgroup,2025-12-02,2025-12-08,0,0,0,,,,,
1.4.2.1,数据与工具增强，开发球员数据榜单页面，增加历史交锋查询插件,task,2025-12-02,2025-12-08,0,0,0,,1.4.1.1,,,blue2
1.5,第三次迭代,group,2025-12-03,2025-12-24,0,0,0,,,,,
1.5.1,后端开发小组,subgroup,2025-12-03,2025-12-15,0,0,0,,,,,
1.5.1.1,富媒体支持，短视频上传、视频处理API,task,2025-12-03,2025-12-10,0,0,0,,,,,blue2
1.5.1.2,集成第三方直播流，实现直播状态和信息管理API,task,2025-12-05,2025-12-15,0,0,0,,,,,blue2
1.5.1.3,多校支持重构，对关键数据表增加学校ID字段,task,2025-12-03,2025-12-10,0,0,0,,1.4.1.2,,,blue2
1.5.2,前端开发小组,subgroup,2025-12-08,2025-12-18,0,0,0,,,,,
1.5.2.1,开发短视频上传、播放页面，信息流展示组件,task,2025-12-08,2025-12-16,0,0,0,,1.5.1.1,,,blue2
1.5.2.2,开发直播页面，嵌入直播流播放器,task,2025-12-09,2025-12-18,0,0,0,,1.5.1.2,,,blue2
1.5.3,测试小组,subgroup,2025-12-17,2025-12-24,0,0,0,,,,,
1.5.3.1,对所有功能进行回归测试,task,2025-12-17,2025-12-24,0,0,0,,,,,blue2
1.5.3.2,模拟多用户访问进行压力测试,task,2025-12-17,2025-12-24,0,0,0,,,,,blue2
1.5.3.3,正式版上线，撰写用户手册和技术文档,task,2025-12-17,2025-12-24,0,0,0,,,,,blue2
